answer_uri,display_label,expected_policy,reproduced_policy,expected_distractor_ranks,reproduced_distractor_ranks,expected_distractor_uris,reproduced_distractor_uris,expected_rationale_facts,reproduced_rationale_facts,expected_minimum_rationale_size,reproduced_minimum_rationale_size,exact_match
http://dbpedia.org/resource/Shinya_Yamanaka,Shinya Yamanaka,main-l1,main-l1,1|2|3,1|2|3,http://dbpedia.org/resource/Shuji_Nakamura|http://dbpedia.org/resource/Shin'ichirō_Tomonaga|http://dbpedia.org/resource/Toshihide_Maskawa,http://dbpedia.org/resource/Shuji_Nakamura|http://dbpedia.org/resource/Shin'ichirō_Tomonaga|http://dbpedia.org/resource/Toshihide_Maskawa,http://dbpedia.org/property/almaMater OUT -> http://dbpedia.org/resource/Kobe_University,http://dbpedia.org/property/almaMater OUT -> http://dbpedia.org/resource/Kobe_University,1,1,True
http://dbpedia.org/resource/Shin'ichirō_Tomonaga,Shin'ichirō Tomonaga,main-l1,main-l1,1|2|3,1|2|3,http://dbpedia.org/resource/Toshihide_Maskawa|http://dbpedia.org/resource/Isamu_Akasaki|http://dbpedia.org/resource/Osamu_Shimomura,http://dbpedia.org/resource/Toshihide_Maskawa|http://dbpedia.org/resource/Isamu_Akasaki|http://dbpedia.org/resource/Osamu_Shimomura,http://dbpedia.org/property/birthPlace OUT -> http://dbpedia.org/resource/Tokyo,http://dbpedia.org/property/birthPlace OUT -> http://dbpedia.org/resource/Tokyo,1,1,True
http://dbpedia.org/resource/Eisaku_Satō,Eisaku Satō,main-l1,main-l1,1|5|6,1|5|6,http://dbpedia.org/resource/Ei-ichi_Negishi|http://dbpedia.org/resource/Hideki_Shirakawa|http://dbpedia.org/resource/Isamu_Akasaki,http://dbpedia.org/resource/Ei-ichi_Negishi|http://dbpedia.org/resource/Hideki_Shirakawa|http://dbpedia.org/resource/Isamu_Akasaki,http://dbpedia.org/property/almaMater OUT -> http://dbpedia.org/resource/University_of_Tokyo ; http://dbpedia.org/property/before IN -> http://dbpedia.org/resource/Kiichi_Aichi,http://dbpedia.org/property/almaMater OUT -> http://dbpedia.org/resource/University_of_Tokyo ; http://dbpedia.org/property/before IN -> http://dbpedia.org/resource/Kiichi_Aichi,2,2,True
http://dbpedia.org/resource/Carbon,Carbon,main-l1,main-l1,1|2|3,1|2|3,http://dbpedia.org/resource/Boron|http://dbpedia.org/resource/Antimony|http://dbpedia.org/resource/Sodium,http://dbpedia.org/resource/Boron|http://dbpedia.org/resource/Antimony|http://dbpedia.org/resource/Sodium,http://dbpedia.org/property/formula IN -> http://dbpedia.org/resource/Diamond,http://dbpedia.org/property/formula IN -> http://dbpedia.org/resource/Diamond,1,1,True
http://dbpedia.org/resource/Silicon,Silicon,main-l1,main-l1,1|2|3,1|2|3,http://dbpedia.org/resource/Bilayer_graphene|http://dbpedia.org/resource/Black_silicon|http://dbpedia.org/resource/Silicon_carbide,http://dbpedia.org/resource/Bilayer_graphene|http://dbpedia.org/resource/Black_silicon|http://dbpedia.org/resource/Silicon_carbide,http://dbpedia.org/property/knownFor IN -> http://dbpedia.org/resource/Jöns_Jacob_Berzelius,http://dbpedia.org/property/knownFor IN -> http://dbpedia.org/resource/Jöns_Jacob_Berzelius,1,1,True
http://dbpedia.org/resource/Aristotle,Aristotle,main-l1,main-l1,1|2|3,1|2|3,http://dbpedia.org/resource/Plato|http://dbpedia.org/resource/Socrates|http://dbpedia.org/resource/Epicurus,http://dbpedia.org/resource/Plato|http://dbpedia.org/resource/Socrates|http://dbpedia.org/resource/Epicurus,http://dbpedia.org/property/influences IN -> http://dbpedia.org/resource/Ptolemy,http://dbpedia.org/property/influences IN -> http://dbpedia.org/resource/Ptolemy,1,1,True
http://dbpedia.org/resource/Plato,Plato,main-l1,main-l1,1|2|3,1|2|3,http://dbpedia.org/resource/Aristotle|http://dbpedia.org/resource/Socrates|http://dbpedia.org/resource/Epicurus,http://dbpedia.org/resource/Aristotle|http://dbpedia.org/resource/Socrates|http://dbpedia.org/resource/Epicurus,http://dbpedia.org/property/influenced IN -> http://dbpedia.org/resource/Gorgias,http://dbpedia.org/property/influenced IN -> http://dbpedia.org/resource/Gorgias,1,1,True
http://dbpedia.org/resource/Adam_Smith,Adam Smith,main-l1,main-l1,1|2|3,1|2|3,http://dbpedia.org/resource/Henry_George|http://dbpedia.org/resource/Frédéric_Bastiat|http://dbpedia.org/resource/James_Mill,http://dbpedia.org/resource/Henry_George|http://dbpedia.org/resource/Frédéric_Bastiat|http://dbpedia.org/resource/James_Mill,http://dbpedia.org/property/influences IN -> http://dbpedia.org/resource/James_Watt,http://dbpedia.org/property/influences IN -> http://dbpedia.org/resource/James_Watt,1,1,True
