answer_uri,display_label,selected_distractor_uris,selected_distractor_ranks,rationale_size,rationale_predicates,rationale_directions,rationale_objects,rationale_object_labels,local_candidate_pool_size,local_candidate_pool_anonymity_count,local_candidate_pool_anonymity_ratio,direct_identifier_flag,per_fact_anonymity_count,object_proper_name_signal,rationale_verbalizable,rationale_template_ids,rationale_pedagogical_tiers,risk_category
http://dbpedia.org/resource/Shinya_Yamanaka,Shinya Yamanaka,http://dbpedia.org/resource/Shuji_Nakamura|http://dbpedia.org/resource/Shin'ichirō_Tomonaga|http://dbpedia.org/resource/Toshihide_Maskawa,1|2|3,1,http://dbpedia.org/property/almaMater,OUT,http://dbpedia.org/resource/Kobe_University,Kobe University,25,1,0.04,True,1,MULTI_TOKEN_PROPER_NAME,True,OUT_ALMA_MATER_V1,1,UNIQUE_IN_LOCAL_POOL
http://dbpedia.org/resource/Shin'ichirō_Tomonaga,Shin'ichirō Tomonaga,http://dbpedia.org/resource/Toshihide_Maskawa|http://dbpedia.org/resource/Isamu_Akasaki|http://dbpedia.org/resource/Osamu_Shimomura,1|2|3,1,http://dbpedia.org/property/birthPlace,OUT,http://dbpedia.org/resource/Tokyo,Tokyo,25,2,0.08,False,2,SINGLE_TOKEN_CAPITALIZED_AMBIGUOUS,True,OUT_BIRTH_PLACE_V1,1,SHARED_IN_LOCAL_POOL
http://dbpedia.org/resource/Eisaku_Satō,Eisaku Satō,http://dbpedia.org/resource/Ei-ichi_Negishi|http://dbpedia.org/resource/Hideki_Shirakawa|http://dbpedia.org/resource/Isamu_Akasaki,1|5|6,2,http://dbpedia.org/property/almaMater|http://dbpedia.org/property/before,OUT|IN,http://dbpedia.org/resource/University_of_Tokyo|http://dbpedia.org/resource/Kiichi_Aichi,University of Tokyo|Kiichi Aichi,25,1,0.04,True,5|1,MULTI_TOKEN_PROPER_NAME|MULTI_TOKEN_PROPER_NAME,True|False,OUT_ALMA_MATER_V1|VERBALIZABLE_UNKNOWN,1|3,UNIQUE_IN_LOCAL_POOL
http://dbpedia.org/resource/Carbon,Carbon,http://dbpedia.org/resource/Boron|http://dbpedia.org/resource/Antimony|http://dbpedia.org/resource/Sodium,1|2|3,1,http://dbpedia.org/property/formula,IN,http://dbpedia.org/resource/Diamond,Diamond,50,1,0.02,True,1,SINGLE_TOKEN_CAPITALIZED_AMBIGUOUS,True,IN_FORMULA_V1,1,UNIQUE_IN_LOCAL_POOL
http://dbpedia.org/resource/Silicon,Silicon,http://dbpedia.org/resource/Bilayer_graphene|http://dbpedia.org/resource/Black_silicon|http://dbpedia.org/resource/Silicon_carbide,1|2|3,1,http://dbpedia.org/property/knownFor,IN,http://dbpedia.org/resource/Jöns_Jacob_Berzelius,Jöns Jacob Berzelius,12,1,0.083333,True,1,MULTI_TOKEN_PROPER_NAME,True,IN_KNOWN_FOR_V1,1,UNIQUE_IN_LOCAL_POOL
http://dbpedia.org/resource/Aristotle,Aristotle,http://dbpedia.org/resource/Plato|http://dbpedia.org/resource/Socrates|http://dbpedia.org/resource/Epicurus,1|2|3,1,http://dbpedia.org/property/influences,IN,http://dbpedia.org/resource/Ptolemy,Ptolemy,28,1,0.035714,True,1,SINGLE_TOKEN_CAPITALIZED_AMBIGUOUS,True,IN_INFLUENCES_V1,1,UNIQUE_IN_LOCAL_POOL
http://dbpedia.org/resource/Plato,Plato,http://dbpedia.org/resource/Aristotle|http://dbpedia.org/resource/Socrates|http://dbpedia.org/resource/Epicurus,1|2|3,1,http://dbpedia.org/property/influenced,IN,http://dbpedia.org/resource/Gorgias,Gorgias,28,2,0.071429,False,2,SINGLE_TOKEN_CAPITALIZED_AMBIGUOUS,True,IN_INFLUENCED_V1,1,SHARED_IN_LOCAL_POOL
http://dbpedia.org/resource/Adam_Smith,Adam Smith,http://dbpedia.org/resource/Henry_George|http://dbpedia.org/resource/Frédéric_Bastiat|http://dbpedia.org/resource/James_Mill,1|2|3,1,http://dbpedia.org/property/influences,IN,http://dbpedia.org/resource/James_Watt,James Watt,19,1,0.052632,True,1,MULTI_TOKEN_PROPER_NAME,True,IN_INFLUENCES_V1,1,UNIQUE_IN_LOCAL_POOL
